label,corpi_T_0.0,corpi_T_0.4,corpi_T_0.8,corpi_T_1.2,corpi_T_1.6,corpi_T_2.0,corpi_T_4.0,corpi_T_6.0,corpi_T_8.0,corpi_T_10.0,corpidiv0_T_0.0,corpidiv0_T_0.4,corpidiv0_T_0.8,corpidiv0_T_1.2,corpidiv0_T_1.6,corpidiv0_T_2.0,corpidiv0_T_4.0,corpidiv0_T_6.0,corpidiv0_T_8.0,corpidiv0_T_10.0,corpidiv1_T_0.0,corpidiv1_T_0.4,corpidiv1_T_0.8,corpidiv1_T_1.2,corpidiv1_T_1.6,corpidiv1_T_2.0,corpidiv1_T_4.0,corpidiv1_T_6.0,corpidiv1_T_8.0,corpidiv1_T_10.0,corpifst0_T_0.0,corpifst0_T_0.4,corpifst0_T_0.8,corpifst0_T_1.2,corpifst0_T_1.6,corpifst0_T_2.0,corpifst0_T_4.0,corpifst0_T_6.0,corpifst0_T_8.0,corpifst0_T_10.0,corpifst1_T_0.0,corpifst1_T_0.4,corpifst1_T_0.8,corpifst1_T_1.2,corpifst1_T_1.6,corpifst1_T_2.0,corpifst1_T_4.0,corpifst1_T_6.0,corpifst1_T_8.0,corpifst1_T_10.0
Both -Ns=10.0 -Prop=0.1 +Ns=100.0 +Prop=0.001,0.9995462280204197,0.7389838748885829,0.7004456689085165,0.680090754395916,0.6715987359209141,0.7477351916376308,0.6554574183615591,0.6672230775463901,0.7094238716473544,0.6744186046511629,0.9997082894416984,0.8019933554817277,0.6896199659671016,0.6996677740863788,0.693347378656511,0.6421035572481971,0.6864759743942955,0.6629122437403777,0.5695972773681226,0.5215298598168706,0.9999027631472327,0.7876995381249494,0.7073170731707318,0.6983388704318937,0.6942225103314156,0.673543472976258,0.7041730815979256,0.6988250546957298,0.5577343813305242,0.5260351673284175,0.03223401669232639,-0.809091645733733,-0.8458147637954785,-0.8579369581071227,-0.8630256867352728,-0.9005591119034115,-0.8707722226723928,-0.8924236285552226,-0.8926829268292684,-0.8841909083542664,0.02967344623612349,-0.8068227858358318,-0.8489911676525402,-0.8454258163844098,-0.8507738432866058,-0.8948545498744025,-0.8620533182076008,-0.8674013451097966,-0.8918077951543635,-0.8883072684547445
Both -Ns=10.0 -Prop=0.1 +Ns=100.0 +Prop=0.005,0.9994165788833967,0.6862815006887611,0.6972692650514545,0.6960375982497368,0.692958431245442,0.7031034762174866,0.6576290414066931,0.7069281257596629,0.6258974151203306,0.6636577262782595,0.9997407017259542,0.746860059962726,0.6831699214002107,0.6749372011992547,0.6645652702374201,0.582400129649137,-0.1744915322907382,-0.6542257515598411,-0.6377603111579289,-0.6585689976501095,0.9997407017259542,0.6929260189611863,0.6694919374442915,0.6586338222186209,0.6118304837533425,0.6202576776598331,-0.11316749047889152,-0.6279718013126976,-0.6361072846608865,-0.6489749615104126,-0.07116117008346164,-0.8315533587229561,-0.8546957296815494,-0.8687950733327933,-0.8681792399319341,-0.8770602058180051,-0.8866542419577019,-0.898419901142533,-0.8725224860222024,-0.8909326634794589,-0.07612024957458877,-0.8383275261324042,-0.8789401183048376,-0.8805607325176241,-0.8818248116035979,-0.8877562596223969,-0.8662993274451019,-0.8928125759662914,-0.8597520460254436,-0.8757637144477757
Both -Ns=100.0 -Prop=0.05 +Ns=100.0 +Prop=0.001,0.9997731140102101,0.7762904140669314,0.6717607973421927,0.7276071631148205,0.6507900494287335,0.70922939794182,0.6298193015152743,0.6913054047483996,0.686540798962807,0.6826837371363748,0.9998379385787214,0.8026416011668422,0.7008670286038409,0.7331172514382952,0.6486508386678551,0.6789239121627098,0.6668341301353214,0.5902439024390244,0.5832104367555304,0.3549631310266591,0.9999351754314885,0.7989466007616886,0.6861518515517382,0.6524754882100317,0.6832671582529779,0.7129243983469735,0.6823920265780732,0.6224941252734787,0.5378332387975042,0.3273802771250304,0.17747346244226564,-0.8186208573049185,-0.8361559030872702,-0.8514869135402318,-0.8503848958755368,-0.874143100234989,-0.8693460821651406,-0.8945952516003567,-0.8855522242930072,-0.875115468762661,0.1775058747265214,-0.7987197147718985,-0.8447127461307836,-0.8908354266266916,-0.8475974394295438,-0.8916781460173405,-0.8551495016611297,-0.8866542419577021,-0.8962482780973989,-0.9007859978932016
Both -Ns=100.0 -Prop=0.05 +Ns=100.0 +Prop=0.005,0.9993193420306297,0.6824892634308404,0.7333117251438295,0.6679037355157605,0.6976582124625235,0.6653755773438134,0.6762661048537397,0.6899116765254033,0.6718580341949599,0.6927639575399075,0.9996758771574428,0.6998946600761689,0.6977554493152905,0.6883558868811279,0.6150392998946602,0.6304675472003891,-0.19163763066202094,-0.6351673284174704,-0.6114415363422737,-0.6590227696296898,0.9997082894416984,0.7361315938740784,0.7205412851470708,0.7069605380439187,0.692375010128839,0.6553601815087919,-0.22191070415687547,-0.6291386435459039,-0.6697188234340816,-0.630694433190179,0.2373389514626043,-0.8647435378008265,-0.8859411717040759,-0.8679523539421441,-0.8921643302811766,-0.8799124868325097,-0.8766064338384248,-0.901466655862572,-0.8760230127218216,-0.8941090673365206,0.23685276719876835,-0.821473138319423,-0.8493477027793535,-0.8449720444048294,-0.8729762580017828,-0.8490559922210519,-0.8946276638846123,-0.8731707317073172,-0.8906409529211572,-0.8960213921076088
Both -Ns=100.0 -Prop=0.1 +Ns=100.0 +Prop=0.001,0.999513815736164,0.7317559354995544,0.7540231747832429,0.7185965480917268,0.6821003160197716,0.6455716716635606,0.6844340004861843,0.683753342516814,0.666023823028928,0.6724090430273073,0.9996758771574428,0.808475812332874,0.7194392674823759,0.6881290008913379,0.6818410177457257,0.6870918077951546,0.6766226399805526,0.6906247467790293,0.6500769791751073,0.647581233287416,0.999870350862977,0.799400372741269,0.6954217648488779,0.7039137833238798,0.7214812413904872,0.6515679442508711,0.651470707398104,0.7119520298193016,0.5802285066040029,0.6173729843610729,0.08801555789644275,-0.8176809010615024,-0.8615347216595091,-0.8681792399319341,-0.8769953812494935,-0.8627339761769711,-0.8710315209464387,-0.85848796693947,-0.8678227048051212,-0.8967020500769793,0.08889068957134753,-0.8110039705048214,-0.8742403370877563,-0.8692164330281177,-0.8547281419658053,-0.8497690624746781,-0.8919050320071309,-0.9042865245928207,-0.8969937606352808,-0.8795883639899522
Both -Ns=100.0 -Prop=0.1 +Ns=100.0 +Prop=0.005,0.999286929746374,0.7325986548902035,0.7022607568268373,0.6661210598816952,0.6152013613159388,0.704853739567296,0.6981443967263593,0.6885503605866624,0.6823272020095617,0.6553277692245361,0.9997082894416984,0.7652054128514708,0.7227453204764606,0.7211895308321854,0.7269265051454503,0.6979823353050807,0.11358885017421605,-0.6256381168462848,-0.6646625070901873,-0.6083299570537234,0.9996758771574428,0.7503281743780893,0.6910136941900981,0.6866056235313185,0.6431083380601248,0.6724090430273074,0.17137995300218783,-0.4801393728222997,-0.6506604002917107,-0.662620533182076,0.03427599060043758,-0.8507414310023501,-0.8524268697836479,-0.8736245036868976,-0.8288631391297303,-0.882667530994247,-0.8998136293655297,-0.8983874888582773,-0.898419901142533,-0.8697350295762094,0.03255813953488372,-0.8610809496799288,-0.8932339356616158,-0.8632849850093187,-0.8562839316100803,-0.8867838910947249,-0.8847095049023579,-0.8733003808443399,-0.8865570051049347,-0.8878859087594199
Local +Ns=100.0 +Prop=0.001 Nm=0.1,0.9997407017259542,0.7565837452394459,0.6477432947086947,0.6848877724657646,0.7337979094076655,0.6505955757231991,0.6999270723604247,0.6711125516570781,0.6958107122599466,0.6630743051616563,0.9998055262944657,0.8113280933473787,0.7422899278826676,0.6750668503362774,0.6581800502390406,0.6959403613969695,0.6827485617048861,0.5182238068227859,0.18936877076411965,-0.18991977959646705,0.9999351754314885,0.8018312940604488,0.682067903735516,0.6814520703346568,0.6899116765254031,0.7023904059638604,0.6607082084109879,0.4748237582043594,0.1774086378737542,-0.10127218215703752,0.08629770683088892,-0.807406206952435,-0.8084109877643628,-0.875147881046917,-0.8880155578964428,-0.8556356859249655,-0.8903168300785997,-0.8892472246981606,-0.8935256462199176,-0.8772870918077953,0.08636253139940038,-0.8157361640061584,-0.8266915160845961,-0.8409205088728628,-0.883380601247873,-0.8634146341463416,-0.8924560408394783,-0.8757313021635202,-0.8999108662182967,-0.8859735839883317
Local +Ns=100.0 +Prop=0.001 Nm=1.0,0.9998379385787214,0.716133214488291,0.6750992626205333,0.7029414147962079,0.7251114172271291,0.6787294384571753,0.70170974799449,0.6683575074953406,0.6747427274937202,0.6911757556113768,0.9999027631472327,0.7851389676687465,0.7493233935661616,0.683623693379791,0.6538043918645167,0.7475731302163522,0.6134186856818735,0.36572400939956246,0.2174378089295843,-0.2547119358236772,0.9999351754314887,0.81868568187343,0.6992788266753099,0.7016449234259785,0.6633336034357022,0.6687464549064096,0.6532209707479135,0.4403695000405154,0.2582772870918078,-0.2603840855684304,-0.08970099667774087,-0.8161899359857386,-0.8075682683737136,-0.869313669880885,-0.8858763471355644,-0.862507090187181,-0.873916214245199,-0.8879183210436755,-0.8907381897739244,-0.906198849363909,-0.08885827728709181,-0.763098614374848,-0.8548253788185722,-0.8468843691759178,-0.8755044161737299,-0.8735272668341303,-0.9040596386030305,-0.8678875293736326,-0.8785835831780245,-0.8793614780001622
Local +Ns=100.0 +Prop=0.005 Nm=0.1,0.9994489911676527,0.7033303622072766,0.720281986873025,0.673057288712422,0.6819382545984929,0.723425978445831,0.6693947005915242,0.6906571590632851,0.6680333846527835,0.6844988250546958,0.9998055262944657,0.7149015476865733,0.7221618993598575,0.6812900089133782,0.6500769791751074,0.6212948707560166,-0.5106717445912,-0.618572238878535,-0.6393161008022041,-0.5957539907624991,0.9997082894416985,0.6920184750020258,0.6989871161170085,0.6987602301272183,0.6500769791751074,0.6286524592820679,-0.4223158577100722,-0.641876671258407,-0.636301758366421,-0.6541933392755854,0.1705372336115388,-0.84079085973584,-0.8715501174945306,-0.8695405558706749,-0.8851308645976828,-0.8792642411473949,-0.8862328822623775,-0.875018231909894,-0.8896037598249735,-0.8926829268292684,0.172935742646463,-0.8518758609513005,-0.8691840207438618,-0.8670448099829835,-0.8613078356697189,-0.9104124463171542,-0.8753423547524513,-0.903638278907706,-0.8851956891661942,-0.8922939794181997
Local +Ns=100.0 +Prop=0.005 Nm=1.0,0.9994489911676527,0.7360019447370554,0.6784377278988737,0.6875779920589904,0.6950652297220647,0.7038813710396241,0.7194716797666316,0.6964265456608054,0.730945628393161,0.7135078194635767,0.9996758771574428,0.6916295275909569,0.7029090025119521,0.7363260675796127,0.637857548010696,0.6155903087270076,-0.401701644923426,-0.6309213191799692,-0.6668017178510656,-0.6164330281176567,0.9997731140102101,0.6773357102341788,0.6637873754152824,0.6594441293250142,0.6311482051697593,0.5538773195040921,-0.4515517381087433,-0.6271290819220485,-0.6186046511627907,-0.6276476784701402,-0.030516165626772552,-0.8531075277530185,-0.8385544121221944,-0.833984280042136,-0.882181346730411,-0.8801069605380439,-0.880722793938903,-0.909602139210761,-0.9249331496637225,-0.9085325338303217,-0.030192042784215216,-0.8529778786159955,-0.8649055992221053,-0.8878859087594198,-0.8718742403370878,-0.8855522242930072,-0.913588850174216,-0.8758285390162872,-0.8861680576938662,-0.8981930151527429
