,N,non_neutral_mu,rec,L,L0,L1,m,ndeff,nprop,pdeff,pprop,n_sim,localintro,label,corpi_T_0.0,corpi_T_0.4,corpi_T_0.8,corpi_T_1.2,corpi_T_1.6,corpi_T_2.0,corpi_T_4.0,corpi_T_6.0,corpi_T_8.0,corpi_T_10.0,corpidiv0_T_0.0,corpidiv0_T_0.4,corpidiv0_T_0.8,corpidiv0_T_1.2,corpidiv0_T_1.6,corpidiv0_T_2.0,corpidiv0_T_4.0,corpidiv0_T_6.0,corpidiv0_T_8.0,corpidiv0_T_10.0,corpidiv1_T_0.0,corpidiv1_T_0.4,corpidiv1_T_0.8,corpidiv1_T_1.2,corpidiv1_T_1.6,corpidiv1_T_2.0,corpidiv1_T_4.0,corpidiv1_T_6.0,corpidiv1_T_8.0,corpidiv1_T_10.0,corpifst0_T_0.0,corpifst0_T_0.4,corpifst0_T_0.8,corpifst0_T_1.2,corpifst0_T_1.6,corpifst0_T_2.0,corpifst0_T_4.0,corpifst0_T_6.0,corpifst0_T_8.0,corpifst0_T_10.0,corpifst1_T_0.0,corpifst1_T_0.4,corpifst1_T_0.8,corpifst1_T_1.2,corpifst1_T_1.6,corpifst1_T_2.0,corpifst1_T_4.0,corpifst1_T_6.0,corpifst1_T_8.0,corpifst1_T_10.0
7,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,0.1,100.0,0.05,0.0,0.0,2.0,True,BDM -Ns=100.0 -Prop=0.05 Nm=0.1,0.9993517543148854,0.7765173000567216,0.42646463009480595,0.4700591524187667,0.5875536828457987,0.2718580341949599,0.3937282229965157,0.45044972044404835,0.5839883315776679,0.6065148691354023,0.9998379385787213,0.8591686249088405,0.6421683818167085,0.7476703670691194,0.6235313183696621,0.5358560894579046,0.05339923831131999,0.06052994084758123,-0.028279718013126974,-0.30572887124220083,0.9995138157361642,0.8966048132242119,0.7876995381249494,0.7095859330686332,0.6643707965318857,0.43019204278421525,0.18272425249169436,-0.132647273316587,-0.05971963374118791,-0.2827161494206304,0.14885341544445344,-0.21546065958998464,-0.2068714042622154,-0.2943845717526943,-0.5271047727088566,-0.5366663965642978,-0.705210274694109,-0.7053723361153877,-0.7935337492909814,-0.8614374848067419,0.157280609350944,-0.06377116927315453,-0.05907138805607326,-0.26375496313102664,-0.48513086459768257,-0.5459038975771817,-0.630824082327202,-0.7880236609675068,-0.8272425249169436,-0.8107122599465199
8,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,0.1,100.0,0.05,0.0,0.0,3.0,True,BDM -Ns=100.0 -Prop=0.05 Nm=0.1,0.9991896928936067,0.7460497528563327,0.5860951300542905,0.6431407503443806,0.5452556518920672,0.548172757475083,0.22956000324122844,0.3784944493963212,0.49858196256381176,0.3480269021959323,0.9995138157361642,0.9301515274288956,0.6974313264727332,0.6826837371363746,0.6267725467952354,0.5261324041811847,-0.021473138319423064,-0.21302973827080465,0.07916700429462767,0.050320071307025364,0.9996758771574429,0.8734300299813631,0.7403776031115794,0.6539988655700512,0.5929017097479945,0.5165707803257436,0.1281095535207844,-0.185803419495989,-0.13070253626124304,0.002025767765983308,0.21983631796450856,-0.07949112713718501,-0.37752208086864925,-0.5146260432703995,-0.40507252248602227,-0.4399157280609351,-0.6596710153148043,-0.7776517300056722,-0.7084515031196824,-0.7259541366177782,0.211895308321854,-0.12648893930799776,-0.3096183453528888,-0.5425006077303298,-0.4885341544445345,-0.5570861356454097,-0.5617859168624909,-0.738594927477514,-0.8799124868325097,-0.6616157523701482
9,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,0.1,100.0,0.05,0.0,0.0,4.0,True,BDM -Ns=100.0 -Prop=0.05 Nm=0.1,0.9988655700510495,0.5867433757394053,0.4203062960862167,0.666639656429787,0.33052426869783647,0.2571104448586014,0.5580585041730817,0.4097723037031035,0.5026334980957784,0.2870918077951544,0.9995138157361642,0.7658212462523296,0.7042379061664371,0.7317883477838102,0.4316505955757233,0.4115549793371688,-0.009156470302244552,-0.23960781136050566,-0.29146746616967834,-0.23361153877319504,0.9993517543148854,0.8797504254112308,0.8150879183210437,0.7175269427112876,0.3765497123409772,0.3686087026983227,0.30767360829754475,0.05826108094967994,0.02001458552791508,-0.02309375253220971,0.055343975366663974,-0.22210517786240988,-0.37314642249412533,-0.3352240499149178,-0.47394862652945463,-0.5366663965642978,-0.8484725711044486,-0.8726197228749698,-0.8906085406369014,-0.7669556762012804,0.06004375658374525,0.02195932258325906,-0.26975123571833726,-0.3605056316343895,-0.6256381168462847,-0.5630824082327203,-0.6431407503443806,-0.5669718823434081,-0.5862571914755693,-0.6590227696296896
109,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,1.0,100.0,0.05,0.0,0.0,4.0,True,BDM -Ns=100.0 -Prop=0.05 Nm=1.0,0.9990276314723282,0.8030953731464225,0.7449153229073819,0.6804148772384734,0.7275747508305649,0.5611376711773762,0.6411960132890366,0.6029495178672718,0.5528725386921644,0.5698889879264242,0.9995138157361642,0.9116765254031279,0.8163844096912731,0.8107122599465199,0.6196418442589742,0.5120330605299409,0.02601085811522567,-0.4076655052264809,-0.7128271614942063,-0.7436188315371526,0.9996758771574429,0.8899602949517867,0.8442589741512033,0.7964508548739974,0.7802447127461308,0.7752208086864922,0.07268454744348109,-0.6486508386678551,-0.8003403289846852,-0.7904545822866867,-0.06992950328174379,-0.021149015476865735,-0.24106636415201363,-0.3079977311401021,-0.38189773924317316,-0.629365529535694,-0.8389109472490075,-0.7337330848391541,-0.8094157685762904,-0.8108743213677986,-0.07770845150311968,-0.159711530670124,-0.17867271695972772,-0.3102665910380034,-0.18774815655133298,-0.36196418442589745,-0.8116846284741918,-0.8800745482537884,-0.8593306863301192,-0.8594927477513977
106,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,1.0,100.0,0.05,0.0,0.0,1.0,True,BDM -Ns=100.0 -Prop=0.05 Nm=1.0,0.9993517543148854,0.7421602787456446,0.745887691435054,0.8295113848148449,0.6715014990681469,0.7616076492990843,0.6423304432379873,0.6713394376468683,0.720768171136861,0.7060205818005024,0.9996758771574429,0.8996839802285066,0.8693784944493964,0.8578721335386112,0.7515598411798072,0.8147637954784864,0.08078761850741431,-0.797585284822948,-0.6599951381573615,-0.781055019852524,0.9996758771574429,0.8787780568835588,0.8813710396240175,0.8220565594360262,0.7465359371201685,0.6854387812981121,0.03589660481322421,-0.6890041325662427,-0.8069848472571105,-0.7599870350862976,-0.35677821894498013,-0.26975123571833726,-0.11806174540150718,-0.3726602382302893,-0.4193339275585447,-0.4498014747589337,-0.7795964670610162,-0.8862328822623775,-0.847824325419334,-0.8786159954622804,-0.3522404991491776,-0.3340896199659671,-0.1514463981849121,-0.4300299813629366,-0.48707560165302655,-0.6241795640547768,-0.8369662101936635,-0.8732679685600844,-0.9254517462118143,-0.8797504254112308
107,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,1.0,100.0,0.05,0.0,0.0,2.0,True,BDM -Ns=100.0 -Prop=0.05 Nm=1.0,0.998541447208492,0.7954784863463252,0.6851146584555547,0.7544769467628231,0.6661534721659509,0.6374686005996273,0.6727979904383763,0.7050482132728305,0.7311401020986955,0.7523701482862005,0.9995138157361642,0.903411392917916,0.8116846284741918,0.8797504254112308,0.8087675228911758,0.6706911919617535,0.11563082408232721,-0.5676201280285229,-0.7507495340734138,-0.7787861599546229,0.9993517543148854,0.9100559111903412,0.8896361721092295,0.9081111741349972,0.8029333117251438,0.7504254112308565,-0.0606920022688599,-0.5937120168543879,-0.6985657564216838,-0.7744105015800988,-0.07138805607325177,0.2105988169516247,-0.2525727250627988,-0.2105988169516247,-0.367960457013208,-0.6339032493314967,-0.7659833076736083,-0.8677578802366097,-0.9084352969775545,-0.8818572238878535,-0.07252248602220242,0.16246657483186128,0.012397698727817843,-0.14982578397212545,-0.3149663722550847,-0.5901466655862573,-0.8615995462280206,-0.8684061259217244,-0.8619236690705777,-0.8816951624665748
108,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,1.0,100.0,0.05,0.0,0.0,3.0,True,BDM -Ns=100.0 -Prop=0.05 Nm=1.0,0.9995138157361642,0.8165464711125516,0.8128190584231424,0.7082894416984037,0.6959727736812252,0.6407098290252006,0.7236852767198768,0.7423223401669232,0.7557734381330525,0.771007211733247,0.9998379385787213,0.931448018799125,0.8737541528239203,0.7499392269670206,0.7065067660643385,0.7285471193582368,-0.07219836317964509,-0.6792804472895227,-0.8338870431893688,-0.7873754152823921,0.9996758771574429,0.9160521837776519,0.9455473624503687,0.7342192691029901,0.631796450854874,0.4553115630824083,0.07268454744348109,-0.5452556518920672,-0.8030953731464225,-0.7499392269670206,0.08613564540961026,-0.22404991491775383,-0.536180212300462,-0.49987845393404107,-0.6173729843610729,-0.5337492909812819,-0.8009885746697998,-0.9137833238797505,-0.904383761445588,-0.9038975771817519,0.07673608297544769,-0.2507900494287335,-0.41236528644356213,-0.5514139859006564,-0.5624341625476056,-0.7097479944899119,-0.7274126894092862,-0.8387488858277288,-0.9013045944412933,-0.8872052507900494
105,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,1.0,100.0,0.05,0.0,0.0,0.0,True,BDM -Ns=100.0 -Prop=0.05 Nm=1.0,0.9974070172595415,0.8233530508062556,0.6977554493152905,0.6846284741917187,0.7061826432217811,0.7505874726521352,0.5509278016368204,0.5049023579936796,0.6434648731869379,0.6517300056721498,0.998541447208492,0.8873673122113281,0.8387488858277288,0.794181994976096,0.7011587391621424,0.6551332955190017,0.42743699862247797,-0.2550036463819788,-0.631796450854874,-0.666639656429787,0.9991896928936067,0.932420387326797,0.8309699376063528,0.7595008508224618,0.7697107203630177,0.7512357183372499,0.31123895956567543,-0.30427031845069286,-0.5894984199011426,-0.6674499635361802,0.26245847176079734,-0.4181994976095941,-0.3405720768171137,-0.5997082894416985,-0.7520460254436432,-0.6556194797828377,-0.6212624584717609,-0.7818653269589174,-0.8332387975042542,-0.8470140183129407,0.2750992626205332,-0.2943845717526943,-0.30329794992302084,-0.5517381087432137,-0.6590227696296896,-0.594198201118224,-0.7896442751802935,-0.8252977878615996,-0.8675958188153311,-0.8113605056316344
28,10000.0,1.11e-09,2e-08,21000000.0,7000000.0,7000000.0,0.1,100.0,0.1,0.0,0.0,3.0,True,BDM -Ns=100.0 -Prop=0.1 Nm=0.1,0.9991896928936067,0.8397212543554008,0.7792723442184588,0.6379547848634632,0.5672960051859656,0.5838262701563893,0.5428247305728873,0.5922534640628799,0.4442913864354591,0.45044972044404835,0.9998379385787213,0.9523539421440728,0.9050320071307026,0.7938578721335388,0.7116927315452557,0.7345433919455474,0.6945142208897173,0.6766874645490641,0.5911190341139293,0.6914350538854226,0.9995138157361642,0.9158901223563731,0.8886638035815575,0.8437727898873674,0.7813791426950816,0.7578802366096751,0.7364881290008913,0.6269346082165141,0.624503686897334,0.6142938173567782,0.33182076006806577,-0.5185155173810875,-0.5548172757475083,-0.5262944656024634,-0.6739324203873269,-0.6501093914593632,-0.8559273964832671,-0.6258001782675634,-0.6606433838424763,-0.7133133457580424,0.3282554087999352,-0.5862571914755693,-0.614455878778057,-0.5468762661048538,-0.5611376711773762,-0.6228830726845476,-0.6282310995867434,-0.6687464549064097,-0.6862490884045054,-0.782513572644032
26,10000.0,1.11e-09,2e-08,21000000.0,7000000.0,7000000.0,0.1,100.0,0.1,0.0,0.0,1.0,True,BDM -Ns=100.0 -Prop=0.1 Nm=0.1,0.9990276314723282,0.8510655538449073,0.7677659833076736,0.7382708046349566,0.6726359290170976,0.7282229965156795,0.4507738432866057,0.5917672797990439,0.6082975447694676,0.5656753909731789,0.9993517543148854,0.9035734543391947,0.9325824487480755,0.8666234502876591,0.7831618183291468,0.7061826432217811,0.661291629527591,0.6053804391864517,0.5697269265051454,0.5833400858925534,0.9998379385787213,0.9405234583907303,0.8269184020743863,0.7836480025929827,0.6941900980471599,0.6797666315533588,0.5412041163601006,0.5050644194149583,0.6040839478162224,0.5885260513734706,-0.0845150311968236,-0.5055506036787943,-0.12551657078032574,-0.2828782108419091,-0.420630418928774,-0.5907949112713718,-0.5348837209302325,-0.7136374686005997,-0.746860059962726,-0.6617778137914269,-0.0918077951543635,-0.45450125597601493,-0.28222996515679444,-0.4170650676606434,-0.5718337249817681,-0.6264484239526781,-0.6961348351025038,-0.7538287010777085,-0.742970585852038,-0.712989222915485
25,10000.0,1.11e-09,2e-08,21000000.0,7000000.0,7000000.0,0.1,100.0,0.1,0.0,0.0,0.0,True,BDM -Ns=100.0 -Prop=0.1 Nm=0.1,0.9995138157361642,0.8345352888744836,0.7886719066526214,0.7708451503119683,0.7197958026091889,0.7507495340734138,0.6867352726683414,0.6261243011101207,0.5674580666072442,0.4792966534316506,1.0,0.9518677578802366,0.858844502066283,0.766631553358723,0.7552872538692165,0.8099019528401264,0.6421683818167085,0.6998622477919131,0.6953245279961107,0.5019852524106636,0.9995138157361642,0.9095697269265052,0.9233449477351917,0.8839640223644762,0.796612916295276,0.8158982254274371,0.7231990924560409,0.6343894335953327,0.6398995219188073,0.4950166112956811,0.05728871242200795,-0.2538692164330281,-0.061340247953974567,-0.6488129000891338,-0.5734543391945548,-0.7734381330524269,-0.8230289279636983,-0.7507495340734138,-0.7431326472733165,-0.6941900980471599,0.059395510898630585,-0.3914593630986144,0.10833806012478729,-0.4674661696783081,-0.5698889879264242,-0.7551251924479379,-0.8064986629932746,-0.7962887934527186,-0.7588526051373472,-0.6053804391864517
29,10000.0,1.11e-09,2e-08,21000000.0,7000000.0,7000000.0,0.1,100.0,0.1,0.0,0.0,4.0,True,BDM -Ns=100.0 -Prop=0.1 Nm=0.1,0.9987035086297708,0.8823434081516897,0.6820354914512601,0.7872133538611134,0.6995381249493557,0.6467061016125111,0.6692326391702456,0.5037679280447289,0.5744267077222267,0.7291953650433516,0.9993517543148854,0.9235070091564704,0.7582043594522324,0.8068227858358318,0.6877076411960134,0.6027874564459931,0.638116846284742,0.5117089376873836,0.42646463009480595,0.6324446965399887,0.9995138157361642,0.8980633660157199,0.6966210193663399,0.8306458147637956,0.6118628960375982,0.6347135564378901,0.5248359128109553,0.5497933716878697,0.6089457904545823,0.6465440401912326,0.27137184993112395,-0.1953650433514302,-0.4650352483591281,-0.6585365853658537,-0.6645328579531642,-0.7009966777408637,-0.7732760716311482,-0.7590146665586257,-0.7907787051292441,-0.8740782756664778,0.2705615428247306,-0.27898873673122115,-0.5449315290495098,-0.6248278097398915,-0.6535126813062151,-0.6467061016125111,-0.764200632039543,-0.7095859330686332,-0.608621667612025,-0.7782999756907869
